,title,originallink,link,description,pubDate
416,"김호중, 써클차트 31주차 리테일주간차트 1위 이어 에이티즈·세븐틴·최예나...",http://www.topstarnews.net/news/articleView.html?idxno=14717417,http://www.topstarnews.net/news/articleView.html?idxno=14717417,"14위 <b>에스파</b>의 &apos;Girls - The 2nd Mini Album&apos;(3,412장), 15위 NCT 드림의 &apos;Glitch Mode - The 2nd Album&apos;(3... 40위 <b>에스파</b>의 &apos;Savage - The 1st Mini Album&apos;(863장) 등이 차지했다. 41위부터는 41위 스트레이... ","Mon, 08 Aug 2022 11:50:00 +0900"
417,"<b>에스파</b>, 日 첫 쇼케이스부터 찢었다…무려 92만 명 응모",http://news.heraldcorp.com/view.php?ud=20220808000470,https://n.news.naver.com/mnews/article/016/0002025735?sid=103,"그룹 <b>에스파</b>(aespa)가 첫 일본 쇼케이스에서 4만 명의 현지 관객과 만났다. 이번 쇼케이스엔 무려 92만 명이 응모, <b>에스파</b>를 향한 큰 관심을 확인할 수 있었다. 8일 소속사 SM엔터테인먼트에 따르면 <b>에스파</b>는... ","Mon, 08 Aug 2022 11:38:00 +0900"
418,"[단독]일본 데뷔 마친 <b>에스파</b>, 9일 입국 콘서트 준비 박차",http://sports.khan.co.kr/news/sk_index.html?art_id=202208081136003&sec_id=540301&pt=nv,https://n.news.naver.com/mnews/article/144/0000829794?sid=106,그룹 <b>에스파</b>가 일본 단독 쇼케이스를 성황리에 마무리하고 국내 일정에 돌입한다. <b>에스파</b>는 오는 9일 일본 하네다공항을 출발해 김포국제공항을 이용해 입국한다. 앞서 <b>에스파</b>는 지난 5일 일본 쇼케이스 일정을 위해... ,"Mon, 08 Aug 2022 11:37:00 +0900"
419,"<b>에스파</b>, 日 첫 단독 쇼케이스 92만 명 응모... 4만 관객 열광 속 성료",https://www.bntnews.co.kr/article/view/bnt202208080009,https://www.bntnews.co.kr/article/view/bnt202208080009,<b>에스파</b>가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘aespa JAPAN PREMIUM SHOWCASE 2022 ~SYNK~’를 개최했다.... ,"Mon, 08 Aug 2022 11:32:00 +0900"
420,"&apos;2022 더팩트 뮤직 어워즈(TMA)&apos;, 팬앤스타 온라인 1차 투표 시작",http://www.cstimes.com/news/articleView.html?idxno=507895,http://www.cstimes.com/news/articleView.html?idxno=507895,"이에 방탄소년단, 슈퍼주니어, 세븐틴, NCT, 투모로우바이투게더, 스트레이 키즈, 엔하이픈, 에이티즈, <b>에스파</b>, 트와이스, 있지, 임영웅, 영탁, 이찬원, 김호중, 정동원, 장민호 등 전 세계 팬들에게 사랑받는... ","Mon, 08 Aug 2022 11:22:00 +0900"
421,"<b>에스파</b>, 日 첫 쇼케이스 성료…4만 관객 열광 속 대성황",,https://n.news.naver.com/mnews/article/415/0000012090?sid=106,"<b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6, 7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘aespa JAPAN PREMIUM SHOWCASE 2022 ~SYNK~(<b>에스파</b>... ","Mon, 08 Aug 2022 11:16:00 +0900"
422,"임영웅·이찬원·김호중→방탄소년단, &apos;TMA&apos; 팬들이 꼽은 최고의 스타는?…온...",http://woman.chosun.com/news/articleView.html?idxno=101361,http://woman.chosun.com/news/articleView.html?idxno=101361,"방탄소년단(BTS), 슈퍼주니어, 세븐틴, NCT, <b>에스파</b>, 트와이스, ITZY, 임영웅, 영탁, 이찬원, 김호중, 정동원, 장민호 등 전 세계 팬들에게 사랑받는 아티스트라면 누구나 후보가 될 수 있다. 투표는 팬앤스타 공식... ","Mon, 08 Aug 2022 11:08:00 +0900"
423,전 세계 MZ세대 홀렸다… &quot;신선하다&quot; 해외서도 반응 쏟아지는 한국산 웹드라마,https://www.wikitree.co.kr/articles/778226,https://www.wikitree.co.kr/articles/778226,<b>에스파</b>가 직접 출연한 티저 영상을 시작으로 지난달 19일 첫 공개된 뒤 열흘 만에 100만 조회수를 돌파하며... 이벤트 참여 고객 중 총 103명을 추첨해 △<b>에스파</b> 싸인 CD △배스킨라빈스 모바일쿠폰 등을 제공한다.,"Mon, 08 Aug 2022 10:56:00 +0900"
424,"<b>에스파</b>, 日 첫 쇼케이스 성료…92만 명 응모에 뜨거운 인기 실감",http://www.sportsseoul.com/news/read/1149099?ref=naver,https://n.news.naver.com/mnews/article/468/0000872003?sid=106,그룹 <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성료했다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 알나 MM에서 일본 첫 단독 쇼케이스 ‘<b>에스파</b> 재팬 프리미엄 쇼케이스 2022~싱크... ,"Mon, 08 Aug 2022 10:45:00 +0900"
425,&apos;차클&apos; 유홍준 교수와 함께한 K-컬처의 뿌리를 발견하는 시간,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12069711,https://n.news.naver.com/mnews/article/437/0000308833?sid=106,무용총의 무용도를 본 학생들은 친숙한 그림에 반응하며 &quot;<b>에스파</b>의 &apos;넥스트 레벨(Next Level)&apos; 춤과 동작이 유사하다&quot;라며 몸소 흉내 내 웃음을 자아냈다. 고구려 고분을 떠나 삼국시대 유물로 꾸민 가상 갤러리로 이동한... ,"Mon, 08 Aug 2022 10:34:00 +0900"
